INPUT:option_a	INPUT:option_b	INPUT:option_c	INPUT:option_d	INPUT:question	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
насекомое	амеба	рыба	червь	Какой пример одноклеточного организма?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d3672d52b5a021508bd	00028677a5--656635e893eb880e6311db8a	00028677a5--65663d3672d52b5a021508bd	00028677a5--65663d3672d52b5a021508b9	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:18.546	2023-11-28T19:19:47.886	2023-11-28T19:19:47.886	0.0320000000
Марс	Венера	солнце	луна	Звезда - это небесный объект, который излучает собственное тепло и свет. Какой из этих небесных объектов является ближайшей звездой к Земле?	D	C			https://platform.toloka.ai/task/42366885/00028677a5--65663d3672d52b5a021508bd	00028677a5--656635d172d52b5a0213fedc	00028677a5--65663d3672d52b5a021508bd	00028677a5--65663d3672d52b5a021508b9	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:18.546	2023-11-28T19:19:47.886	2023-11-28T19:19:47.886	0.0320000000
масса	сила тяжести	трение	скорость	Карандаш падает со стола. Что почему карандаш притягивается к полу?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d3672d52b5a021508bd	00028677a5--656635e893eb880e6311dba6	00028677a5--65663d3672d52b5a021508bd	00028677a5--65663d3672d52b5a021508b9	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:18.546	2023-11-28T19:19:47.886	2023-11-28T19:19:47.886	0.0320000000
гравий	песок	трава	асфальт	Четвероклассники планируют забег на роликах. Какое покрытие было бы лучшим для этой гонки?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d3aac2f373192118fd9	00028677a5--656635d172d52b5a0213feb0	00028677a5--65663d3aac2f373192118fd9	00028677a5--65663d3aac2f373192118fd7	53c473753e1b3e63fa9b38fd76d09bc9	APPROVED	2023-11-28T19:19:22.878	2023-11-28T19:20:15.379	2023-11-28T19:20:15.379	0.0320000000
жидкое химическое вещество, используемое для повышения плодородия почвы	материал, который когда-то был живым, но разложился	твердый природный материал с кристаллической структурой	питательное вещество, вырабатываемое растениями, в котором нуждаются другие организмы	Что из следующего лучше всего описывает минерал?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d3aac2f373192118fd9	00028677a5--656635e793eb880e6311dae4	00028677a5--65663d3aac2f373192118fd9	00028677a5--65663d3aac2f373192118fd7	53c473753e1b3e63fa9b38fd76d09bc9	APPROVED	2023-11-28T19:19:22.878	2023-11-28T19:20:15.379	2023-11-28T19:20:15.379	0.0320000000
давление воздуха	ветер	яркий свет	туман	Жанна кладет несколько мокриц в открытую коробку. Она закрывает половину коробки куском картона. Затем она ставит коробку на улицу в летний день, и все мокрицы перемещаются под картон. На что из следующего, скорее всего, реагируют мокрицы?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d3aac2f373192118fd9	00028677a5--656635eb93eb880e6311dd18	00028677a5--65663d3aac2f373192118fd9	00028677a5--65663d3aac2f373192118fd7	53c473753e1b3e63fa9b38fd76d09bc9	APPROVED	2023-11-28T19:19:22.878	2023-11-28T19:20:15.379	2023-11-28T19:20:15.379	0.0320000000
Дмитрием Менделеевым	Михаилом Ломоносовым	Александром Пушкиным	Константином Циолковским	Периодический закон, объясняющий зависимость свойств химических элементов от их атомного веса, был открыт	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d40e1bebf42ba0682c0	00028677a5--656635eb93eb880e6311dd06	00028677a5--65663d40e1bebf42ba0682c0	00028677a5--65663d40e1bebf42ba0682bc	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:28.262	2023-11-28T19:19:46.254	2023-11-28T19:19:46.254	0.0300000000
Лето в Волгограде жаркое и сухое	Сегодня в Перми температура 12 ° C	Зимы в Норильске холодные и снежные	Солнце зайдет сегодня в Москве в 18:45	Какое утверждение является описанием погоды?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663d40e1bebf42ba0682c0	00028677a5--656635d172d52b5a0213fec0	00028677a5--65663d40e1bebf42ba0682c0	00028677a5--65663d40e1bebf42ba0682bc	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:28.262	2023-11-28T19:19:46.254	2023-11-28T19:19:46.254	0.0300000000
Масло превращается в жидкость в теплой кастрюле	Морковь становится мягкой при приготовлении	Сахар, добавленный в чай, делает чай сладким	Текущая вода делает камень гладким	Что из этого пример плавления?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d40e1bebf42ba0682c0	00028677a5--656635eb93eb880e6311dd5e	00028677a5--65663d40e1bebf42ba0682c0	00028677a5--65663d40e1bebf42ba0682bc	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:28.262	2023-11-28T19:19:46.254	2023-11-28T19:19:46.254	0.0300000000
гибернация	прорастание	общение	миграция	Многие птицы летают на юг на зиму. Эта адаптация называется	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d4373f0bd2e80da056f	00028677a5--656635e693eb880e6311da4b	00028677a5--65663d4373f0bd2e80da056f	00028677a5--65663d4373f0bd2e80da056a	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:19:31.565	2023-11-28T19:19:59.973	2023-11-28T19:19:59.973	0.0320000000
механическая	электрическая	звуковая	химическая	Какая форма энергии содержится в пище?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d4373f0bd2e80da056f	00028677a5--656635d172d52b5a0213fee9	00028677a5--65663d4373f0bd2e80da056f	00028677a5--65663d4373f0bd2e80da056a	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:19:31.565	2023-11-28T19:19:59.973	2023-11-28T19:19:59.973	0.0320000000
Кот	Собака	Кролик	Лев	Какое животное ест только растения?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d4373f0bd2e80da056f	00028677a5--656635e993eb880e6311dc1f	00028677a5--65663d4373f0bd2e80da056f	00028677a5--65663d4373f0bd2e80da056a	11e5d63426b5a8c672ceeb3769622c47	APPROVED	2023-11-28T19:19:31.565	2023-11-28T19:19:59.973	2023-11-28T19:19:59.973	0.0320000000
гибернация	прорастание	общение	миграция	Многие птицы летают на юг на зиму. Эта адаптация называется	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d43ed57be7c616148c3	00028677a5--656635e693eb880e6311da4b	00028677a5--65663d43ed57be7c616148c3	00028677a5--65663d42ed57be7c616148bf	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:31.024	2023-11-28T19:19:52.807	2023-11-28T19:19:52.807	0.0320000000
мозг	почка	сердце	желудок	Куда уходит богатая кислородом кровь после выхода из легких?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d43ed57be7c616148c3	00028677a5--656635e893eb880e6311db60	00028677a5--65663d43ed57be7c616148c3	00028677a5--65663d42ed57be7c616148bf	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:31.024	2023-11-28T19:19:52.807	2023-11-28T19:19:52.807	0.0320000000
тепловая	магнитная	звуковая	механическая	Какая форма энергии заставляет таять кубик льда?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663d43ed57be7c616148c3	00028677a5--656635d172d52b5a0213fed6	00028677a5--65663d43ed57be7c616148c3	00028677a5--65663d42ed57be7c616148bf	e7e198d5d2cdfce2095b0444771f6dc1	APPROVED	2023-11-28T19:19:31.024	2023-11-28T19:19:52.807	2023-11-28T19:19:52.807	0.0320000000
обед на пляже	сбор ракушек	наблюдение за птицами	строительство замка из песка	Пляж загрязняют сточные воды, бумажные и пластиковые контейнеры, а также масло с лодок. Какие виды деятельности на пляже, скорее всего, увеличивают его загрязнение?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d48ac2f3731921191e5	00028677a5--656635e893eb880e6311db3c	00028677a5--65663d48ac2f3731921191e5	00028677a5--65663d48ac2f3731921191de	131edf0016662936b1352f2446538ab4	APPROVED	2023-11-28T19:19:36.759	2023-11-28T19:20:17.799	2023-11-28T19:20:17.799	0.0320000000
через химическое вещество под названием хлорофилл	через систему трубок	с помощью фотосинтеза	превращая воду в пищу	Что из следующего лучше всего объясняет, как стебли переносят воду к другим частям растения?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663d48ac2f3731921191e5	00028677a5--656635d172d52b5a0213fec2	00028677a5--65663d48ac2f3731921191e5	00028677a5--65663d48ac2f3731921191de	131edf0016662936b1352f2446538ab4	APPROVED	2023-11-28T19:19:36.759	2023-11-28T19:20:17.799	2023-11-28T19:20:17.799	0.0320000000
Она меняет цвет	Становится тяжелее	Она превращается в водяной пар	Она перестает пузыриться	Что происходит с водой, когда она закипает?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d48ac2f3731921191e5	00028677a5--656635eb93eb880e6311dd68	00028677a5--65663d48ac2f3731921191e5	00028677a5--65663d48ac2f3731921191de	131edf0016662936b1352f2446538ab4	APPROVED	2023-11-28T19:19:36.759	2023-11-28T19:20:17.799	2023-11-28T19:20:17.799	0.0320000000
Шерсть, пиломатериалы и масло	Бумага, специи и волокна	Лекарства, кожа и молоко	Хлопок, резина и яйца	В каком из этих списков представлены продукты только растительного происхождения?	B	B			https://platform.toloka.ai/task/42366885/00028677a5--65663d49edc5b13fcc9c134d	00028677a5--656635d172d52b5a0213fed0	00028677a5--65663d49edc5b13fcc9c134d	00028677a5--65663d49edc5b13fcc9c134a	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:19:37.974	2023-11-28T19:20:09.132	2023-11-28T19:20:09.132	0.0300000000
масса	сила тяжести	трение	скорость	Карандаш падает со стола. Что почему карандаш притягивается к полу?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d49edc5b13fcc9c134d	00028677a5--656635e893eb880e6311dba6	00028677a5--65663d49edc5b13fcc9c134d	00028677a5--65663d49edc5b13fcc9c134a	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:19:37.974	2023-11-28T19:20:09.132	2023-11-28T19:20:09.132	0.0300000000
Она меняет цвет	Становится тяжелее	Она превращается в водяной пар	Она перестает пузыриться	Что происходит с водой, когда она закипает?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d49edc5b13fcc9c134d	00028677a5--656635eb93eb880e6311dd68	00028677a5--65663d49edc5b13fcc9c134d	00028677a5--65663d49edc5b13fcc9c134a	824981a5decb5513777c4c90d10e6f8f	APPROVED	2023-11-28T19:19:37.974	2023-11-28T19:20:09.132	2023-11-28T19:20:09.132	0.0300000000
обед на пляже	сбор ракушек	наблюдение за птицами	строительство замка из песка	Пляж загрязняют сточные воды, бумажные и пластиковые контейнеры, а также масло с лодок. Какие виды деятельности на пляже, скорее всего, увеличивают его загрязнение?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d4a73f0bd2e80da0645	00028677a5--656635e893eb880e6311db3c	00028677a5--65663d4a73f0bd2e80da0645	00028677a5--65663d4a73f0bd2e80da0643	1f86103adba899ce6f47aa394cbe0628	APPROVED	2023-11-28T19:19:38.532	2023-11-28T19:20:13.910	2023-11-28T19:20:13.910	0.0300000000
Масло превращается в жидкость в теплой кастрюле	Морковь становится мягкой при приготовлении	Сахар, добавленный в чай, делает чай сладким	Текущая вода делает камень гладким	Что из этого пример плавления?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d4a73f0bd2e80da0645	00028677a5--656635eb93eb880e6311dd5e	00028677a5--65663d4a73f0bd2e80da0645	00028677a5--65663d4a73f0bd2e80da0643	1f86103adba899ce6f47aa394cbe0628	APPROVED	2023-11-28T19:19:38.532	2023-11-28T19:20:13.910	2023-11-28T19:20:13.910	0.0300000000
весы	ручная линза	линейка	мерный стаканчик	Какой инструмент должен использовать ученик для сравнения массы двух небольших камней?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663d4a73f0bd2e80da0645	00028677a5--656635d172d52b5a0213feb6	00028677a5--65663d4a73f0bd2e80da0645	00028677a5--65663d4a73f0bd2e80da0643	1f86103adba899ce6f47aa394cbe0628	APPROVED	2023-11-28T19:19:38.532	2023-11-28T19:20:13.910	2023-11-28T19:20:13.910	0.0300000000
Ласты морской черепахи	Коровий хвост	Острый клюв птицы	Шерсть черного медведя	Какие из следующих особенностей животного больше всего помогают животному перемещаться в среде обитания?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d4b2eae777d41428675	00028677a5--656635e993eb880e6311dc4d	00028677a5--65663d4b2eae777d41428675	00028677a5--65663d4b2eae777d41428673	b5b4291433a350a598b3ed2cf1f5a3d0	APPROVED	2023-11-28T19:19:39.888	2023-11-28T19:20:27.261	2023-11-28T19:20:27.261	0.0320000000
Вакуоль	Хлоропласт	Клеточная стенка	Ядро	Какая часть растительной клетки отвечает за управление деятельностью других частей клетки?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d4b2eae777d41428675	00028677a5--656635d172d52b5a0213fed2	00028677a5--65663d4b2eae777d41428675	00028677a5--65663d4b2eae777d41428673	b5b4291433a350a598b3ed2cf1f5a3d0	APPROVED	2023-11-28T19:19:39.888	2023-11-28T19:20:27.261	2023-11-28T19:20:27.261	0.0320000000
жидкое химическое вещество, используемое для повышения плодородия почвы	материал, который когда-то был живым, но разложился	твердый природный материал с кристаллической структурой	питательное вещество, вырабатываемое растениями, в котором нуждаются другие организмы	Что из следующего лучше всего описывает минерал?	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d4b2eae777d41428675	00028677a5--656635e793eb880e6311dae4	00028677a5--65663d4b2eae777d41428675	00028677a5--65663d4b2eae777d41428673	b5b4291433a350a598b3ed2cf1f5a3d0	APPROVED	2023-11-28T19:19:39.888	2023-11-28T19:20:27.261	2023-11-28T19:20:27.261	0.0320000000
Она меняет цвет	Становится тяжелее	Она превращается в водяной пар	Она перестает пузыриться	Что происходит с водой, когда она закипает?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--656635eb93eb880e6311dd68	00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--65663d4ccb94b61ac9a75dbe	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:19:40.428	2023-11-28T19:20:07.269	2023-11-28T19:20:07.269	0.0320000000
Ласты морской черепахи	Коровий хвост	Острый клюв птицы	Шерсть черного медведя	Какие из следующих особенностей животного больше всего помогают животному перемещаться в среде обитания?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--656635e993eb880e6311dc4d	00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--65663d4ccb94b61ac9a75dbe	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:19:40.428	2023-11-28T19:20:07.269	2023-11-28T19:20:07.269	0.0320000000
сколько оно стоит	насколько оно красивое	какого оно цвета	когда его собрали	Что из этого физическое свойство яблока?	C	C			https://platform.toloka.ai/task/42366885/00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--656635d172d52b5a0213fecc	00028677a5--65663d4ccb94b61ac9a75dd5	00028677a5--65663d4ccb94b61ac9a75dbe	a68c09c86bd863f39f4a88b37488c5ce	APPROVED	2023-11-28T19:19:40.428	2023-11-28T19:20:07.269	2023-11-28T19:20:07.269	0.0320000000
кварц	сера	кальцит	полевой шпат	У какого минерала есть шестигранные прозрачные кристаллы, которые могут поцарапать стекло?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--656635d172d52b5a0213fede	00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--65663d4cedc5b13fcc9c138f	4496e706c0f82f19f5e594a1c508e096	APPROVED	2023-11-28T19:19:40.432	2023-11-28T19:20:09.079	2023-11-28T19:20:09.079	0.0300000000
Кот	Собака	Кролик	Лев	Какое животное ест только растения?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--656635e993eb880e6311dc1f	00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--65663d4cedc5b13fcc9c138f	4496e706c0f82f19f5e594a1c508e096	APPROVED	2023-11-28T19:19:40.432	2023-11-28T19:20:09.079	2023-11-28T19:20:09.079	0.0300000000
лазерный луч с голографией	электронный микроскоп	сейсмограф	стереоскоп	Ученый должен сфотографировать упорядоченное расположение атомов и молекул внутри вещества. Какой из следующих инструментов лучше всего подойдет ученому?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--656635ea93eb880e6311dc63	00028677a5--65663d4cedc5b13fcc9c1393	00028677a5--65663d4cedc5b13fcc9c138f	4496e706c0f82f19f5e594a1c508e096	APPROVED	2023-11-28T19:19:40.432	2023-11-28T19:20:09.079	2023-11-28T19:20:09.079	0.0300000000
гибернация	прорастание	общение	миграция	Многие птицы летают на юг на зиму. Эта адаптация называется	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d4e72d52b5a02150d19	00028677a5--656635e693eb880e6311da4b	00028677a5--65663d4e72d52b5a02150d19	00028677a5--65663d4e72d52b5a02150d17	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:19:42.088	2023-11-28T19:20:25.377	2023-11-28T19:20:25.377	0.0300000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d4e72d52b5a02150d19	00028677a5--656635d172d52b5a0213febb	00028677a5--65663d4e72d52b5a02150d19	00028677a5--65663d4e72d52b5a02150d17	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:19:42.088	2023-11-28T19:20:25.377	2023-11-28T19:20:25.377	0.0300000000
Ураганный ветер	Новое землетрясение	Образование рек	Рост числа туристов	Последнее землетрясение, изменившее характер рельефа Уральских гор, произошло 5 тысяч лет назад. Какое из следующих явлений, произошедших недавно, позволило ученым предположить, что Уральские горы снова растут?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d4e72d52b5a02150d19	00028677a5--656635e693eb880e6311d9fa	00028677a5--65663d4e72d52b5a02150d19	00028677a5--65663d4e72d52b5a02150d17	f0fa4bba802f8b61ddd7dc18eee1a4fd	APPROVED	2023-11-28T19:19:42.088	2023-11-28T19:20:25.377	2023-11-28T19:20:25.377	0.0300000000
Ласты морской черепахи	Коровий хвост	Острый клюв птицы	Шерсть черного медведя	Какие из следующих особенностей животного больше всего помогают животному перемещаться в среде обитания?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d5072d52b5a02150d93	00028677a5--656635e993eb880e6311dc4d	00028677a5--65663d5072d52b5a02150d93	00028677a5--65663d5072d52b5a02150d91	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:19:44.151	2023-11-28T19:20:47.935	2023-11-28T19:20:47.935	0.0300000000
Кошка ест мышь	Змея ест крысу	Ястреб ест мышь	Олень ест лист	В каких из следующих событий участвуют потребитель и продуцент пищевой цепи?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5072d52b5a02150d93	00028677a5--656635d172d52b5a0213febe	00028677a5--65663d5072d52b5a02150d93	00028677a5--65663d5072d52b5a02150d91	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:19:44.151	2023-11-28T19:20:47.935	2023-11-28T19:20:47.935	0.0300000000
масса	сила тяжести	трение	скорость	Карандаш падает со стола. Что почему карандаш притягивается к полу?	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d5072d52b5a02150d93	00028677a5--656635e893eb880e6311dba6	00028677a5--65663d5072d52b5a02150d93	00028677a5--65663d5072d52b5a02150d91	eb2c1f760d6b195980d17e31c5176146	APPROVED	2023-11-28T19:19:44.151	2023-11-28T19:20:47.935	2023-11-28T19:20:47.935	0.0300000000
мозг	почка	сердце	желудок	Куда уходит богатая кислородом кровь после выхода из легких?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d50ac2f37319211932f	00028677a5--656635e893eb880e6311db60	00028677a5--65663d50ac2f37319211932f	00028677a5--65663d50ac2f37319211932b	54dc1fd19b4da5d09934e4d2f87ad1c2	APPROVED	2023-11-28T19:19:44.509	2023-11-28T19:20:10.998	2023-11-28T19:20:10.998	0.0300000000
механическая	электрическая	звуковая	химическая	Какая форма энергии содержится в пище?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d50ac2f37319211932f	00028677a5--656635d172d52b5a0213fee9	00028677a5--65663d50ac2f37319211932f	00028677a5--65663d50ac2f37319211932b	54dc1fd19b4da5d09934e4d2f87ad1c2	APPROVED	2023-11-28T19:19:44.509	2023-11-28T19:20:10.998	2023-11-28T19:20:10.998	0.0300000000
обед на пляже	сбор ракушек	наблюдение за птицами	строительство замка из песка	Пляж загрязняют сточные воды, бумажные и пластиковые контейнеры, а также масло с лодок. Какие виды деятельности на пляже, скорее всего, увеличивают его загрязнение?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d50ac2f37319211932f	00028677a5--656635e893eb880e6311db3c	00028677a5--65663d50ac2f37319211932f	00028677a5--65663d50ac2f37319211932b	54dc1fd19b4da5d09934e4d2f87ad1c2	APPROVED	2023-11-28T19:19:44.509	2023-11-28T19:20:10.998	2023-11-28T19:20:10.998	0.0300000000
Кот	Собака	Кролик	Лев	Какое животное ест только растения?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d532eae777d41428728	00028677a5--656635e993eb880e6311dc1f	00028677a5--65663d532eae777d41428728	00028677a5--65663d532eae777d41428726	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:47.788	2023-11-28T19:20:14.070	2023-11-28T19:20:14.070	0.0300000000
Марс	Венера	солнце	луна	Звезда - это небесный объект, который излучает собственное тепло и свет. Какой из этих небесных объектов является ближайшей звездой к Земле?	A	C			https://platform.toloka.ai/task/42366885/00028677a5--65663d532eae777d41428728	00028677a5--656635d172d52b5a0213fedc	00028677a5--65663d532eae777d41428728	00028677a5--65663d532eae777d41428726	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:47.788	2023-11-28T19:20:14.070	2023-11-28T19:20:14.070	0.0300000000
Ласты морской черепахи	Коровий хвост	Острый клюв птицы	Шерсть черного медведя	Какие из следующих особенностей животного больше всего помогают животному перемещаться в среде обитания?	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d532eae777d41428728	00028677a5--656635e993eb880e6311dc4d	00028677a5--65663d532eae777d41428728	00028677a5--65663d532eae777d41428726	0d1f489722202210ddb2e789a3e86b2a	APPROVED	2023-11-28T19:19:47.788	2023-11-28T19:20:14.070	2023-11-28T19:20:14.070	0.0300000000
взять новую лампочку, чтобы закончить тест	спрятать разбитое стекло под стол	попросить своего партнера помочь подобрать разбитое стекло	сказать своему учителю, что она разбила лампочку	Пока Анна проверяла схему, она уронила лампочку. Что может быть самым безопасным для Анны?	D	D			https://platform.toloka.ai/task/42366885/00028677a5--65663d5372d52b5a02150e65	00028677a5--656635d172d52b5a0213febb	00028677a5--65663d5372d52b5a02150e65	00028677a5--65663d5372d52b5a02150e60	f604d64d5cd18c1e688cfc3954f2550c	APPROVED	2023-11-28T19:19:47.798	2023-11-28T19:20:26.183	2023-11-28T19:20:26.183	0.0320000000
движением Солнца	вращением Земли	движением Луны	наклоном Земли	Переход от дня к ночи на Земле можно объяснить	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d5372d52b5a02150e65	00028677a5--656635e793eb880e6311db1a	00028677a5--65663d5372d52b5a02150e65	00028677a5--65663d5372d52b5a02150e60	f604d64d5cd18c1e688cfc3954f2550c	APPROVED	2023-11-28T19:19:47.798	2023-11-28T19:20:26.183	2023-11-28T19:20:26.183	0.0320000000
Она меняет цвет	Становится тяжелее	Она превращается в водяной пар	Она перестает пузыриться	Что происходит с водой, когда она закипает?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d5372d52b5a02150e65	00028677a5--656635eb93eb880e6311dd68	00028677a5--65663d5372d52b5a02150e65	00028677a5--65663d5372d52b5a02150e60	f604d64d5cd18c1e688cfc3954f2550c	APPROVED	2023-11-28T19:19:47.798	2023-11-28T19:20:26.183	2023-11-28T19:20:26.183	0.0320000000
Дождь	Лед	Мороз	Пар	Что из этого является примером жидкой воды?	A	A			https://platform.toloka.ai/task/42366885/00028677a5--65663d55cb94b61ac9a76565	00028677a5--656635d172d52b5a0213fee2	00028677a5--65663d55cb94b61ac9a76565	00028677a5--65663d55cb94b61ac9a76563	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:49.483	2023-11-28T19:20:07.598	2023-11-28T19:20:07.598	0.0300000000
Кот	Собака	Кролик	Лев	Какое животное ест только растения?	C				https://platform.toloka.ai/task/42366885/00028677a5--65663d55cb94b61ac9a76565	00028677a5--656635e993eb880e6311dc1f	00028677a5--65663d55cb94b61ac9a76565	00028677a5--65663d55cb94b61ac9a76563	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:49.483	2023-11-28T19:20:07.598	2023-11-28T19:20:07.598	0.0300000000
движением Солнца	вращением Земли	движением Луны	наклоном Земли	Переход от дня к ночи на Земле можно объяснить	B				https://platform.toloka.ai/task/42366885/00028677a5--65663d55cb94b61ac9a76565	00028677a5--656635e793eb880e6311db1a	00028677a5--65663d55cb94b61ac9a76565	00028677a5--65663d55cb94b61ac9a76563	093e6e7542cd0a535f27f2cf1d236d99	APPROVED	2023-11-28T19:19:49.483	2023-11-28T19:20:07.598	2023-11-28T19:20:07.598	0.0300000000
Дмитрием Менделеевым	Михаилом Ломоносовым	Александром Пушкиным	Константином Циолковским	Периодический закон, объясняющий зависимость свойств химических элементов от их атомного веса, был открыт	A				https://platform.toloka.ai/task/42366885/00028677a5--65663d56ed57be7c61614bf9	00028677a5--656635eb93eb880e6311dd06	00028677a5--65663d56ed57be7c61614bf9	00028677a5--65663d56ed57be7c61614bf0	55d56e821b9bc1d2422110ae2df146e9	APPROVED	2023-11-28T19:19:50.704	2023-11-28T19:20:18.498	2023-11-28T19:20:18.498	0.0300000000
новейшая звезда	самая большая звезда	ближайшая звезда	самая горячая звезда	С Земли Солнце кажется ярче, чем любая другая звезда, потому что Солнце -	B	C			https://platform.toloka.ai/task/42366885/00028677a5--65663d56ed57be7c61614bf9	00028677a5--656635d172d52b5a0213feae	00028677a5--65663d56ed57be7c61614bf9	00028677a5--65663d56ed57be7c61614bf0	55d56e821b9bc1d2422110ae2df146e9	APPROVED	2023-11-28T19:19:50.704	2023-11-28T19:20:18.498	2023-11-28T19:20:18.498	0.0300000000
гибернация	прорастание	общение	миграция	Многие птицы летают на юг на зиму. Эта адаптация называется	D				https://platform.toloka.ai/task/42366885/00028677a5--65663d56ed57be7c61614bf9	00028677a5--656635e693eb880e6311da4b	00028677a5--65663d56ed57be7c61614bf9	00028677a5--65663d56ed57be7c61614bf0	55d56e821b9bc1d2422110ae2df146e9	APPROVED	2023-11-28T19:19:50.704	2023-11-28T19:20:18.498	2023-11-28T19:20:18.498	0.0300000000
