INPUT:premise	INPUT:hypothesis	OUTPUT:answer	GOLDEN:answer	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
"Президент поручил руководителям силовых структур задействовать все силы для раскрытия убийства и заявил, что намерен лично следить за ходом расследования. ""Это чрезвычайный факт! "", - сказал он журналистам."	Президент лично следит за ходом расследования.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b7ff1569c422f8652e6f3	00028673b2--65661c9b2eae777d413cf1f7	00028673b2--656b7ff1569c422f8652e6f3	00028673b2--656b7ff1569c422f8652e6f0	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:05:21.912	2023-12-02T19:06:01.756	2023-12-02T19:06:01.756	0.0300000000
– Сейчас, сейчас, – говорил дед, – мне тут уже немного.	Деду оставалось уже немного.	3	3			https://platform.toloka.ai/task/42365874/00028673b2--656b7ff1569c422f8652e6f3	00028673b2--65661c85a837516761fe51eb	00028673b2--656b7ff1569c422f8652e6f3	00028673b2--656b7ff1569c422f8652e6f0	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:05:21.912	2023-12-02T19:06:01.756	2023-12-02T19:06:01.756	0.0300000000
После этого отпустили. Тут-то все и началось. Шофер решил не мириться с этим и исправить свою судьбу.	Шофер не смирился с этим и исправил свою судьбу.	3	1			https://platform.toloka.ai/task/42365874/00028673b2--656b801b89a2b22ad473d26b	00028673b2--65661c84a837516761fe51db	00028673b2--656b801b89a2b22ad473d26b	00028673b2--656b801b89a2b22ad473d269	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:03.284	2023-12-02T19:06:31.725	2023-12-02T19:06:31.725	0.0300000000
Пустое. Потому и пустое, что в нем ничего и не может быть. Кто сказал, что шесть десятилетий – это не шесть дней?	Шесть десятилетий – это не шесть дней.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b801b89a2b22ad473d26b	00028673b2--65661c9a2eae777d413cf14d	00028673b2--656b801b89a2b22ad473d26b	00028673b2--656b801b89a2b22ad473d269	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:03.284	2023-12-02T19:06:31.725	2023-12-02T19:06:31.725	0.0300000000
– А я за себя и говорю, – сказал я. – Никто не сможет, и я не смогу, и вы не сможете. – А почему ты решил, что я не смогу?	Все всё смогут.	2				https://platform.toloka.ai/task/42365874/00028673b2--656b801b89a2b22ad473d26b	00028673b2--65661c992eae777d413cf0e3	00028673b2--656b801b89a2b22ad473d26b	00028673b2--656b801b89a2b22ad473d269	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:03.284	2023-12-02T19:06:31.725	2023-12-02T19:06:31.725	0.0300000000
Посмотрев это видео, понимаешь, почему женщины живут дольше мужчин.	Женщины живут не дольше мужчин.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656b8039e6473070054689ef	00028673b2--65661c85a837516761fe51f7	00028673b2--656b8039e6473070054689ef	00028673b2--656b8039e6473070054689ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:33.379	2023-12-02T19:07:00.922	2023-12-02T19:07:00.922	0.0300000000
"""Откуда это у людей?"" — думал он. — ""Неужели они действительно считают, что таким образом можно разбогатеть?"""	Таким образом можно разбогатеть.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b8039e6473070054689ef	00028673b2--65661c982eae777d413cf040	00028673b2--656b8039e6473070054689ef	00028673b2--656b8039e6473070054689ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:33.379	2023-12-02T19:07:00.922	2023-12-02T19:07:00.922	0.0300000000
Раньше он бегал на длинные дистанции и был краса и гордость Родины; обе эти причины, в разной степени, но одинаково, не позволяли ему делать некоторые вещи, например, есть картошку.	Он не делал некоторые вещи, например, не ел картошку	1				https://platform.toloka.ai/task/42365874/00028673b2--656b8039e6473070054689ef	00028673b2--65661c962eae777d413cef30	00028673b2--656b8039e6473070054689ef	00028673b2--656b8039e6473070054689ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:06:33.379	2023-12-02T19:07:00.922	2023-12-02T19:07:00.922	0.0300000000
Он ей рисунки свои носил, а она исправляла. Все ему исправляла. И критиковала за ставни закрытые, говорила — окно, чтоб смотреть на мир.	На его рисунках были открыты ставни.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656b8056569c422f8652f395	00028673b2--65661c85a837516761fe51f9	00028673b2--656b8056569c422f8652f395	00028673b2--656b8056569c422f8652f393	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:02.397	2023-12-02T19:07:31.517	2023-12-02T19:07:31.517	0.0300000000
Установлено, что накануне совершения преступления супруги поссорились. Этим и воспользовался фигурант. Похитив имущество, подозреваемый его продал, а денежные средства потратил.	Накануне совершения преступления супруги поссорились.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b8056569c422f8652f395	00028673b2--65661c982eae777d413ceff5	00028673b2--656b8056569c422f8652f395	00028673b2--656b8056569c422f8652f393	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:02.397	2023-12-02T19:07:31.517	2023-12-02T19:07:31.517	0.0300000000
Он расскажет, как встречался с королевой. Обман, конечно, выяснится, но... Но в него никто не поверит. Толпа обожает верить подлым слухам.	Все, чему верит толпа, - это подлые слухи.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b8056569c422f8652f395	00028673b2--65661c942eae777d413ced13	00028673b2--656b8056569c422f8652f395	00028673b2--656b8056569c422f8652f393	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:02.397	2023-12-02T19:07:31.517	2023-12-02T19:07:31.517	0.0300000000
Он требовал убрать с кровати прелые листья и еловый валежник. В помещении устоялся запах ладана, от него пошли мысли похоронах. Он надеялся на чудо.	С кровати убрали прелые листья и еловый валежник.	3	2			https://platform.toloka.ai/task/42365874/00028673b2--656b8075569c422f8652f7bb	00028673b2--65661c84a837516761fe51d7	00028673b2--656b8075569c422f8652f7bb	00028673b2--656b8074569c422f8652f7b9	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:33.006	2023-12-02T19:08:08.040	2023-12-02T19:08:08.040	0.0300000000
Если у властей есть информация, что это может случиться, то следует принять меры и предотвратить преступление, предлагают они.	Меры приняты и преступление предотвращено.	2				https://platform.toloka.ai/task/42365874/00028673b2--656b8075569c422f8652f7bb	00028673b2--65661c982eae777d413cf017	00028673b2--656b8075569c422f8652f7bb	00028673b2--656b8074569c422f8652f7b9	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:33.006	2023-12-02T19:08:08.040	2023-12-02T19:08:08.040	0.0300000000
Соседство в одном списке реально вредных и опасных факторов с заведомо мифологическими, конечно, бросается в глаза, но об этом — несколько позже. Обратим внимание на другое. Во-первых, практически все перечисленное представляет собой угрозу (действительную или мнимую) для жизни и здоровья людей, и только людей.	Под угрозой жизни и здоровье людей, и только людей.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b8075569c422f8652f7bb	00028673b2--65661c942eae777d413ced5f	00028673b2--656b8075569c422f8652f7bb	00028673b2--656b8074569c422f8652f7b9	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:07:33.006	2023-12-02T19:08:08.040	2023-12-02T19:08:08.040	0.0300000000
Тюменская кондитерская решила провести благотворительную акцию.	Тюменские кондитеры проведут благотворительную акцию.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--656b809b3f4864629f66483b	00028673b2--65661c84a837516761fe51c9	00028673b2--656b809b3f4864629f66483b	00028673b2--656b809b3f4864629f664839	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:11.762	2023-12-02T19:08:38.224	2023-12-02T19:08:38.224	0.0300000000
Это что, военная конспирация? Прежде чем говорить о какой-либо встрече, ответь, пожалуйста, честно и откровенно на эти вопросы. Что бы там ни было, я не обижусь, всё пойму и просто лучше оценю ситуацию.	Что бы там ни было.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b809b3f4864629f66483b	00028673b2--65661c952eae777d413cee01	00028673b2--656b809b3f4864629f66483b	00028673b2--656b809b3f4864629f664839	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:11.762	2023-12-02T19:08:38.224	2023-12-02T19:08:38.224	0.0300000000
В конце года в Самарской области был принят закон «О мерах социальной поддержки по оплате жилого помещения и коммунальных услуг, предоставляемых отдельным категориям граждан, проживающих в Самарской области».	В Самарской области отдельным категориям граждан окажут поддержку по оплате жилья и коммунальных услуг.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b809b3f4864629f66483b	00028673b2--65661c992eae777d413cf0e1	00028673b2--656b809b3f4864629f66483b	00028673b2--656b809b3f4864629f664839	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:11.762	2023-12-02T19:08:38.224	2023-12-02T19:08:38.224	0.0300000000
Районный суд признал виновными троих жителей Каменки в изготовлении и сбыте поддельных денег.	Трое жителей Каменки виновны в изготовлении и сбыте поддельных денег.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b80b7de57091f5686d5ef	00028673b2--65661c972eae777d413cef80	00028673b2--656b80b7de57091f5686d5ef	00028673b2--656b80b7de57091f5686d5ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:39.728	2023-12-02T19:09:13.481	2023-12-02T19:09:13.481	0.0300000000
Поиски работника к результатам не привели. Пока спустя время на заводе не нашли человеческий череп. Генетическая экспертиза показала, что останки принадлежат пропавшему мужчине.	Пропавший мужчина был владельцем этих останков и забыл их на заводе.	2				https://platform.toloka.ai/task/42365874/00028673b2--656b80b7de57091f5686d5ef	00028673b2--65661c9a2eae777d413cf14b	00028673b2--656b80b7de57091f5686d5ef	00028673b2--656b80b7de57091f5686d5ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:39.728	2023-12-02T19:09:13.481	2023-12-02T19:09:13.481	0.0300000000
Подозревают его в краже.	Он расследует кражи.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656b80b7de57091f5686d5ef	00028673b2--65661c84a837516761fe51e1	00028673b2--656b80b7de57091f5686d5ef	00028673b2--656b80b7de57091f5686d5ed	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:08:39.728	2023-12-02T19:09:13.481	2023-12-02T19:09:13.481	0.0300000000
Парень кивнул. Чем наемся? — думал я, тепло на них косясь.	Я хочу наесться чем-то.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b80dbde57091f5686da12	00028673b2--65661c942eae777d413cedc7	00028673b2--656b80dbde57091f5686da12	00028673b2--656b80dbde57091f5686d9fb	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:15.302	2023-12-02T19:09:38.877	2023-12-02T19:09:38.877	0.0300000000
Это не значит, что латвийская экономика не будет расти. Будет, но рост будет медленным. Надо понимать, что все должны жить по одним правилам.	Латвийская экономика не вырастет.	2				https://platform.toloka.ai/task/42365874/00028673b2--656b80dbde57091f5686da12	00028673b2--65661c992eae777d413cf0ed	00028673b2--656b80dbde57091f5686da12	00028673b2--656b80dbde57091f5686d9fb	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:15.302	2023-12-02T19:09:38.877	2023-12-02T19:09:38.877	0.0300000000
Для мамы праздник был как обычный день. Она кормила людей. Весеннее небо обещало счастье, но мать не верила ему.	Небо обещает счастье.	1	3			https://platform.toloka.ai/task/42365874/00028673b2--656b80dbde57091f5686da12	00028673b2--65661c84a837516761fe51cf	00028673b2--656b80dbde57091f5686da12	00028673b2--656b80dbde57091f5686d9fb	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:15.302	2023-12-02T19:09:38.877	2023-12-02T19:09:38.877	0.0300000000
"""Мы уверены, что пока правительство сохраняет контроль над этим оружием, ситуация безопасна"", - сказал он на Мюнхенской конференции по безопасности в субботу."	Ситуация безопасна.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b80f4ab84697810900afa	00028673b2--65661c962eae777d413cee82	00028673b2--656b80f4ab84697810900afa	00028673b2--656b80f4ab84697810900af8	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:40.518	2023-12-02T19:10:28.195	2023-12-02T19:10:28.195	0.0300000000
Тем более, что у нас и раньше были в списках люди, которые не состоят в партии. И никто на них не обижался. Вы думаете, сейчас будут?	Сейчас на людей, которые не состоят в партии, будут обижаться.	3				https://platform.toloka.ai/task/42365874/00028673b2--656b80f4ab84697810900afa	00028673b2--65661c992eae777d413cf0eb	00028673b2--656b80f4ab84697810900afa	00028673b2--656b80f4ab84697810900af8	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:40.518	2023-12-02T19:10:28.195	2023-12-02T19:10:28.195	0.0300000000
Оцените свои возможности. Кому надо, сходите в туалет сейчас. Тем, у кого хронические заболевания - если нужна помощь, скажите об этом.	Им нужна помощь.	3	2			https://platform.toloka.ai/task/42365874/00028673b2--656b80f4ab84697810900afa	00028673b2--65661c85a837516761fe5201	00028673b2--656b80f4ab84697810900afa	00028673b2--656b80f4ab84697810900af8	4018a793c78a0c17f0992855c592a199	APPROVED	2023-12-02T19:09:40.518	2023-12-02T19:10:28.195	2023-12-02T19:10:28.195	0.0300000000
Я уже упоминал, что совершенно не знал и не понимал, как с ней обстоят дела в действительности, да что там — не знал, есть ли она вообще. И уж во всяком случае, был уверен, что меня это явление совершенно точно не затронет, я не дам прикоснуться к себе пальцем, а если будет что-то такое, то напишу в прокуратуру, обращусь в следственные органы, разошлю письма по газетам. «Они, эти деды, — думал я, — просто-напросто привыкли издеваться над теми, кто не решается им ответить, и когда появлюсь я — всё это прекратится».	Я не знал и не понимал, как с ней обстоят дела в действительности и есть ли она вообще.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b8366de57091f56872930	00028673b2--65661c962eae777d413ceee4	00028673b2--656b8366de57091f56872930	00028673b2--656b8366de57091f5687292a	d6abdd2f7488c7556334a46567a8e976	APPROVED	2023-12-02T19:20:06.542	2023-12-02T19:21:59.832	2023-12-02T19:21:59.832	0.0300000000
Согласись — рановато. (Улыбка.) То есть думаю о женитьбе, но только в перспективе, без конкретного кандидата.	Женитьба будет без конкретного кандидата.	1				https://platform.toloka.ai/task/42365874/00028673b2--656b8366de57091f56872930	00028673b2--65661c972eae777d413cef67	00028673b2--656b8366de57091f56872930	00028673b2--656b8366de57091f5687292a	d6abdd2f7488c7556334a46567a8e976	APPROVED	2023-12-02T19:20:06.542	2023-12-02T19:21:59.832	2023-12-02T19:21:59.832	0.0300000000
Оцените свои возможности. Кому надо, сходите в туалет сейчас. Тем, у кого хронические заболевания - если нужна помощь, скажите об этом.	Им нужна помощь.	3	2			https://platform.toloka.ai/task/42365874/00028673b2--656b8366de57091f56872930	00028673b2--65661c85a837516761fe5201	00028673b2--656b8366de57091f56872930	00028673b2--656b8366de57091f5687292a	d6abdd2f7488c7556334a46567a8e976	APPROVED	2023-12-02T19:20:06.542	2023-12-02T19:21:59.832	2023-12-02T19:21:59.832	0.0300000000
Возможны и другие причины повышенного интереса к жизни поэта и ослабления интереса к его работе. Люди устали от, так сказать, выдуманных сюжетов и требуют подлинности. Они считают, что в двадцатом веке скопилось чересчур много литературы, и, измученные агитацией и пропагандой, хотят знать, что было на самом деле.	В двадцатом веке скопилось чересчур много литературы.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbaa2e6473070054e3047	00028673b2--65661c962eae777d413ceedb	00028673b2--656bbaa2e6473070054e3047	00028673b2--656bbaa2e6473070054e3045	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:15:46.163	2023-12-02T23:16:49.163	2023-12-02T23:16:49.163	0.0320000000
Он ей рисунки свои носил, а она исправляла. Все ему исправляла. И критиковала за ставни закрытые, говорила — окно, чтоб смотреть на мир.	На его рисунках были открыты ставни.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656bbaa2e6473070054e3047	00028673b2--65661c85a837516761fe51f9	00028673b2--656bbaa2e6473070054e3047	00028673b2--656bbaa2e6473070054e3045	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:15:46.163	2023-12-02T23:16:49.163	2023-12-02T23:16:49.163	0.0320000000
Он расскажет, как встречался с королевой. Обман, конечно, выяснится, но... Но в него никто не поверит. Толпа обожает верить подлым слухам.	Все, чему верит толпа, - это подлые слухи.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbaa2e6473070054e3047	00028673b2--65661c942eae777d413ced13	00028673b2--656bbaa2e6473070054e3047	00028673b2--656bbaa2e6473070054e3045	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:15:46.163	2023-12-02T23:16:49.163	2023-12-02T23:16:49.163	0.0320000000
Пустое. Потому и пустое, что в нем ничего и не может быть. Кто сказал, что шесть десятилетий – это не шесть дней?	Шесть десятилетий – это не шесть дней.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbae2e89d517233cd5a75	00028673b2--65661c9a2eae777d413cf14d	00028673b2--656bbae2e89d517233cd5a75	00028673b2--656bbae2e89d517233cd5a73	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:16:50.802	2023-12-02T23:18:37.693	2023-12-02T23:18:37.693	0.0320000000
Говорил ведь, жди в парадной, пока она не выйдет. - Что ты ворчишь? - сказал я.	Ты ворчишь.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--656bbae2e89d517233cd5a75	00028673b2--65661c85a837516761fe51ed	00028673b2--656bbae2e89d517233cd5a75	00028673b2--656bbae2e89d517233cd5a73	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:16:50.802	2023-12-02T23:18:37.693	2023-12-02T23:18:37.693	0.0320000000
Если у властей есть информация, что это может случиться, то следует принять меры и предотвратить преступление, предлагают они.	Меры приняты и преступление предотвращено.	3				https://platform.toloka.ai/task/42365874/00028673b2--656bbae2e89d517233cd5a75	00028673b2--65661c982eae777d413cf017	00028673b2--656bbae2e89d517233cd5a75	00028673b2--656bbae2e89d517233cd5a73	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:16:50.802	2023-12-02T23:18:37.693	2023-12-02T23:18:37.693	0.0320000000
О Сове нужно поговорить. По-моему, это не мудрая сова, она только считает себя мудрой (поскольку она сова) или притворяется мудрой.	Сова мудрая.	2	3			https://platform.toloka.ai/task/42365874/00028673b2--656bbb4fde57091f568f96c8	00028673b2--65661c84a837516761fe51d5	00028673b2--656bbb4fde57091f568f96c8	00028673b2--656bbb4fde57091f568f96c6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:18:39.389	2023-12-02T23:20:16.064	2023-12-02T23:20:16.064	0.0320000000
В конце года в Самарской области был принят закон «О мерах социальной поддержки по оплате жилого помещения и коммунальных услуг, предоставляемых отдельным категориям граждан, проживающих в Самарской области».	В Самарской области отдельным категориям граждан окажут поддержку по оплате жилья и коммунальных услуг.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbb4fde57091f568f96c8	00028673b2--65661c992eae777d413cf0e1	00028673b2--656bbb4fde57091f568f96c8	00028673b2--656bbb4fde57091f568f96c6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:18:39.389	2023-12-02T23:20:16.064	2023-12-02T23:20:16.064	0.0320000000
Согласись — рановато. (Улыбка.) То есть думаю о женитьбе, но только в перспективе, без конкретного кандидата.	Женитьба будет без конкретного кандидата.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbb4fde57091f568f96c8	00028673b2--65661c972eae777d413cef67	00028673b2--656bbb4fde57091f568f96c8	00028673b2--656bbb4fde57091f568f96c6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:18:39.389	2023-12-02T23:20:16.064	2023-12-02T23:20:16.064	0.0320000000
После этого отпустили. Тут-то все и началось. Шофер решил не мириться с этим и исправить свою судьбу.	Шофер не смирился с этим и исправил свою судьбу.	1	1			https://platform.toloka.ai/task/42365874/00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--65661c84a837516761fe51db	00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--656bbbb489a2b22ad47c0c76	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:20:20.183	2023-12-02T23:21:55.230	2023-12-02T23:21:55.230	0.0300000000
Жука нигде не было. Пропил. А с кем — убей — не помнит.	С кем-то пропил Жука.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--65661c992eae777d413cf0ab	00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--656bbbb489a2b22ad47c0c76	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:20:20.183	2023-12-02T23:21:55.230	2023-12-02T23:21:55.230	0.0300000000
"""Я не ожидаю, что альянс будет в этом участвовать"", - сказал он."	Альянс будет в этом участвовать.	2				https://platform.toloka.ai/task/42365874/00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--65661c972eae777d413cef78	00028673b2--656bbbb489a2b22ad47c0c7b	00028673b2--656bbbb489a2b22ad47c0c76	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:20:20.183	2023-12-02T23:21:55.230	2023-12-02T23:21:55.230	0.0300000000
Посмотрев это видео, понимаешь, почему женщины живут дольше мужчин.	Женщины живут не дольше мужчин.	2	2			https://platform.toloka.ai/task/42365874/00028673b2--656bbc14de57091f568fb3d8	00028673b2--65661c85a837516761fe51f7	00028673b2--656bbc14de57091f568fb3d8	00028673b2--656bbc14de57091f568fb3d6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:21:56.926	2023-12-02T23:30:51.519	2023-12-02T23:30:51.519	0.0300000000
Установлено, что накануне совершения преступления супруги поссорились. Этим и воспользовался фигурант. Похитив имущество, подозреваемый его продал, а денежные средства потратил.	Накануне совершения преступления супруги поссорились.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbc14de57091f568fb3d8	00028673b2--65661c982eae777d413ceff5	00028673b2--656bbc14de57091f568fb3d8	00028673b2--656bbc14de57091f568fb3d6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:21:56.926	2023-12-02T23:30:51.519	2023-12-02T23:30:51.519	0.0300000000
Судя по видео, конфликт начался из-за того, что один автомобилист не пропустил другого.	Конфликта не было.	2				https://platform.toloka.ai/task/42365874/00028673b2--656bbc14de57091f568fb3d8	00028673b2--65661c9b2eae777d413cf1e3	00028673b2--656bbc14de57091f568fb3d8	00028673b2--656bbc14de57091f568fb3d6	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:21:56.926	2023-12-02T23:30:51.519	2023-12-02T23:30:51.519	0.0300000000
— Да, понятно. Я не знаю, что вам такое сказать, чтобы вы мне поверили. Но скажу одно: я действительно в безвыходном положении, и я вовсе не уверен, что нахожусь в психиатрической клинике, тогда была бы надежда на врачей, а так — вы моя единственная опора за пределами этого странного заведения.	Я действительно в безвыходном положении.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbe2de89d517233cdbee1	00028673b2--65661c9b2eae777d413cf19b	00028673b2--656bbe2de89d517233cdbee1	00028673b2--656bbe2de89d517233cdbedf	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:30:53.193	2023-12-02T23:31:29.794	2023-12-02T23:31:29.794	0.0300000000
Неизвестный ворвался в магазин с пистолетом и стал угрожать продавцам. Мужчина кричал, что ему нужны деньги. Продавцы решили не рисковать и отдали ему все наличные.	Мужчине нужны деньги.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bbe2de89d517233cdbee1	00028673b2--65661c9a2eae777d413cf140	00028673b2--656bbe2de89d517233cdbee1	00028673b2--656bbe2de89d517233cdbedf	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:30:53.193	2023-12-02T23:31:29.794	2023-12-02T23:31:29.794	0.0300000000
Как я бросил? А просто, шагая по длинной улице, понял: пора бросать. И, помню, задержал глаза на щитке с краю тротуара.	С краю тротуара не было щитка.	1	2			https://platform.toloka.ai/task/42365874/00028673b2--656bbe2de89d517233cdbee1	00028673b2--65661c84a837516761fe51d1	00028673b2--656bbe2de89d517233cdbee1	00028673b2--656bbe2de89d517233cdbedf	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:30:53.193	2023-12-02T23:31:29.794	2023-12-02T23:31:29.794	0.0300000000
"Президент поручил руководителям силовых структур задействовать все силы для раскрытия убийства и заявил, что намерен лично следить за ходом расследования. ""Это чрезвычайный факт! "", - сказал он журналистам."	Президент лично следит за ходом расследования.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bc1e6ab84697810993cb4	00028673b2--65661c9b2eae777d413cf1f7	00028673b2--656bc1e6ab84697810993cb4	00028673b2--656bc1e6ab84697810993cb1	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:46:46.394	2023-12-02T23:47:39.006	2023-12-02T23:47:39.006	0.0300000000
Оцените свои возможности. Кому надо, сходите в туалет сейчас. Тем, у кого хронические заболевания - если нужна помощь, скажите об этом.	Им нужна помощь.	3	2			https://platform.toloka.ai/task/42365874/00028673b2--656bc1e6ab84697810993cb4	00028673b2--65661c85a837516761fe5201	00028673b2--656bc1e6ab84697810993cb4	00028673b2--656bc1e6ab84697810993cb1	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:46:46.394	2023-12-02T23:47:39.006	2023-12-02T23:47:39.006	0.0300000000
Районный суд признал виновными троих жителей Каменки в изготовлении и сбыте поддельных денег.	Трое жителей Каменки виновны в изготовлении и сбыте поддельных денег.	1				https://platform.toloka.ai/task/42365874/00028673b2--656bc1e6ab84697810993cb4	00028673b2--65661c972eae777d413cef80	00028673b2--656bc1e6ab84697810993cb4	00028673b2--656bc1e6ab84697810993cb1	adb6dd3b8ff6c355741e39d6094b8c5a	APPROVED	2023-12-02T23:46:46.394	2023-12-02T23:47:39.006	2023-12-02T23:47:39.006	0.0300000000
Жука нигде не было. Пропил. А с кем — убей — не помнит.	С кем-то пропил Жука.	2				https://platform.toloka.ai/task/42365874/00028673b2--656bf00ce89d517233d3fd06	00028673b2--65661c992eae777d413cf0ab	00028673b2--656bf00ce89d517233d3fd06	00028673b2--656bf00ce89d517233d3fd04	806141491b35a74ba4b39e406d87bc22	APPROVED	2023-12-03T03:03:40.692	2023-12-03T03:04:04.164	2023-12-03T03:04:04.164	0.0300000000
После этого отпустили. Тут-то все и началось. Шофер решил не мириться с этим и исправить свою судьбу.	Шофер не смирился с этим и исправил свою судьбу.	3	1			https://platform.toloka.ai/task/42365874/00028673b2--656bf00ce89d517233d3fd06	00028673b2--65661c84a837516761fe51db	00028673b2--656bf00ce89d517233d3fd06	00028673b2--656bf00ce89d517233d3fd04	806141491b35a74ba4b39e406d87bc22	APPROVED	2023-12-03T03:03:40.692	2023-12-03T03:04:04.164	2023-12-03T03:04:04.164	0.0300000000
