INPUT:replic	INPUT:answer_1	INPUT:answer_2	INPUT:target_group	OUTPUT:answer_output	GOLDEN:answer_output	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:task_suite_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ASSIGNMENT:submitted	ASSIGNMENT:accepted	ASSIGNMENT:reward
"теперь не пойду Пизда рплу Через год инстамамвши пойдут Всем похуй что ты не пойдешь, проведут компанию о безопасности на стадионе и ты нахуй не нужен со своим ""ебать калтак ебать"""	проведут компанию Уроки сделал, хуеплёт малолетний?	проведут компанию Ты жопу подмыл дырявый?	другое	1				https://platform.toloka.ai/task/42002038/000280e676--65402dcef83f2e52cc7812e1	000280e676--654025b149bf6d25f0b6ac8c	000280e676--65402dcef83f2e52cc7812e1	000280e676--65402dcef83f2e52cc7812da	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:26.987	2023-10-30T22:27:42.650	2023-10-30T22:27:42.650	0.0320000000
"Так ""унылый кал"" означает ""я не полюбил сей фильм, господа, ибо он не про преступников и убийства"" в переводе с фекального языка быдла?А сранье в подъезде или лифте как следует понимать в таком случае? Как крик души: ""господа, помогите! я нищий, глупый и меня били, укнижали и насиловали всю мою жизнь"", наверное?"	Каждый раз кринжую с этих проецирований жирножопого нищего Виталямбуса, которого насиловал гречневый заводчанин отец Иди на хуй отсюда, долбоеб убогий	Уф, у каждого своё восприятие. 	другое	1				https://platform.toloka.ai/task/42002038/000280e676--65402dcef83f2e52cc7812e1	000280e676--654025b049bf6d25f0b6ab95	000280e676--65402dcef83f2e52cc7812e1	000280e676--65402dcef83f2e52cc7812da	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:26.987	2023-10-30T22:27:42.650	2023-10-30T22:27:42.650	0.0320000000
а почему русня так дрочит на иранского офицера убитого? на чистопрудном бульваре цветочки накидали возле посольства)0	Ну типа любой враг пиндосов это друг россиян если на бытовом уровне Но на высоком геополитическом уровне смерти генерала должны быть рады высшие круги как Ирана (засилие КСИР) так и России(мешал в Сирии), США и тем более Ирака(кукловодил страной) и Израиля ( курировал Хезболлу). Мб только Китай огорчен что ебнули охранника их подпольной бензоколонки. Теперь с США пришлось торговую сделку прописывать в которую включена покупка легальной американской нефти.	потому что в школе учиться надо было даун, а не свои интеллектуальные потуги вбрасывать, как говно на вентилятор	национальность	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402dcef83f2e52cc7812e1	000280e676--654025a02d0f5e27572ddc9f	000280e676--65402dcef83f2e52cc7812e1	000280e676--65402dcef83f2e52cc7812da	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:26.987	2023-10-30T22:27:42.650	2023-10-30T22:27:42.650	0.0320000000
Не каждому сычу выдают видиокарту хотя бы уровня среднего RTX. А ведь производственный цикл видиокарты занимает от силы месяц. Куда уж нам до кошкодевочек с длительностью производственного цикла несколько лет. Если изобретут, то это будет весьма редкий товар, поризводимый мелкми партиями, а то и вовсе штучно на заказ для очень богатых покупателей. Ну такое, с учётом того, что обыкновенная шлюха с хвостом-пробкой в жеппе многократно дешевле и доступней.	Что ты всё ноешь, долбодятел?! Книги на стол, жопу на стул и уперёд, учицца! Учиться делать ниибаца крутые видюхи и биороботов для утех. Будешь потом на этом бабло рубить. Не нравится — уматывай в свою иппонию, выбирать себе принцессу из кошкодевочек. 	"""Ну такое, с учётом того, что обыкновенная шлюха с хвостом-пробкой в жеппе многократно дешевле и доступней""? Шлюха не будет в эксклюзивном доступе. Ну и сычам хочется ведь не только секса, а любви, искренности, понимания, отношача, это все вообще не то."	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402dd4edd5dc6538eca3c6	000280e676--654025b049bf6d25f0b6ab4f	000280e676--65402dd4edd5dc6538eca3c6	000280e676--65402dd4edd5dc6538eca3c4	051f2beab76321ead0be731fadbe3ee6	APPROVED	2023-10-30T22:27:32.884	2023-10-30T22:28:34.385	2023-10-30T22:28:34.385	0.0290000000
"Это не гражданская война, а агрессия соседнего государства, которая подняла ватных алкашей возрождать ""ВЕЛИКУЮ РОССИЮ"" и обосралась в итоге. А Крым он России боком вышел."	твое дайнское мнение также далеко от истины, как одна нога твоей мамаши от второй пока она узбеков обслуживает	"Хуйню не неси, долбаеб Не видел в сводках, что у нас была война с Украиной, вы ее сами придумали, чтобы оправдать свое бессилие против ""ватных алкашей"""	мужчины	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402dd4edd5dc6538eca3c6	000280e676--654025a02d0f5e27572ddcbf	000280e676--65402dd4edd5dc6538eca3c6	000280e676--65402dd4edd5dc6538eca3c4	051f2beab76321ead0be731fadbe3ee6	APPROVED	2023-10-30T22:27:32.884	2023-10-30T22:28:34.385	2023-10-30T22:28:34.385	0.0290000000
У хрусичей жопа по шву расходится, наташи по-факту всегда правильно поступают, каждое решение наташки это благо для ее детей и будущего нации.	Мразь тупая, ты за собой следи. Последний раз хуже любой наташки себя вёл, чмо недоделаное	У каждого человека своё видение, как поступать. Не суди и не судим будешь. 	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402dd4edd5dc6538eca3c6	000280e676--654025b049bf6d25f0b6ac1e	000280e676--65402dd4edd5dc6538eca3c6	000280e676--65402dd4edd5dc6538eca3c4	051f2beab76321ead0be731fadbe3ee6	APPROVED	2023-10-30T22:27:32.884	2023-10-30T22:28:34.385	2023-10-30T22:28:34.385	0.0290000000
Марпл объективно в миллион раз лучше этой хуйни, которая в вещах роется	Объективно Объективно блядь Мне кажется одна баба лучше другой, поэтому она ОБЪЕКТИВНО лучше То что в вещах рылась, думаю, было как-то согласовано с игроками. Иначе пиздец какой-то	ну уж тебе то виднее, кто ОБЪЕКТИВНО лучше. Ты свое нахуй никому ненужное мнение объективность не оправдывай, а иди лучше уроки делай пока мамка по жопе не дала ремнем	женщины	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402dd52d0f5e27572f71ef	000280e676--654025a02d0f5e27572ddcbb	000280e676--65402dd52d0f5e27572f71ef	000280e676--65402dd52d0f5e27572f71ed	d2f7b9c25ea490b4f0b21b3317e21f4f	APPROVED	2023-10-30T22:27:33.400	2023-10-30T22:28:13.725	2023-10-30T22:28:13.725	0.0320000000
Найс полыхание пожилого еблана пили инсту ебани там фоточек своей хуйни и купи рекламки в региональных пабосах лендос будет перебор Ебаааааааааать. Поридж, ваша коллективная тупость достигла критической массы, и коллапсировала в сверхмассивную воронку продаж.	Вот в эту воронку тебя и засосёт, чмо!	Ебать пожилых дегенератов корежит...	другое	2				https://platform.toloka.ai/task/42002038/000280e676--65402dd52d0f5e27572f71ef	000280e676--654025b149bf6d25f0b6ac68	000280e676--65402dd52d0f5e27572f71ef	000280e676--65402dd52d0f5e27572f71ed	d2f7b9c25ea490b4f0b21b3317e21f4f	APPROVED	2023-10-30T22:27:33.400	2023-10-30T22:28:13.725	2023-10-30T22:28:13.725	0.0320000000
Эпоха джентри закончилась, нонче решает кровь и личные заслуги.И слава богу. Аристократии быть не должно. Большевиков не люблю, но искренне их ценю за то, что перебили всех блядей и эксплуататоров простого люда. Место аристократа - на виселице.	"""перебили всех блядей и эксплуататоров простого люда""? Теперь тебя эксплуатируют вчерашние колхозники, у которых нет никакого чувства причастности к стране. А про блядей я вообще молчу. Лучше стало?большевики были топом в свою эпоху меритократии (до концов 60-х примерно), когда всё оценивалось по делам твоим и спрашивалось соответственно"	Да не будет никакой аристократии, откуда ей взяться! А что решает кровь - это как раз к теме аристократии ващет. Так что какие-то двойные стандарты у тебя. Датчики не настроены. Перенастрой аппаратурку-то. А то эксплуататоры из низов за тебя покрепче любых листократов возьмутся да ноги из тебя нахуй повыдергают	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402dd52d0f5e27572f71ef	000280e676--654025b149bf6d25f0b6ac40	000280e676--65402dd52d0f5e27572f71ef	000280e676--65402dd52d0f5e27572f71ed	d2f7b9c25ea490b4f0b21b3317e21f4f	APPROVED	2023-10-30T22:27:33.400	2023-10-30T22:28:13.725	2023-10-30T22:28:13.725	0.0320000000
В Японии школьницы часто занимаются проституцией. Насчет России - ничего, продолжайте либеральный курс, будет и не такое	В Японии школьницы часто занимаются проституцией.В России и прочих Украинах куда чаще. Поэтому, собственно, ты и визжишь как раненая в анус собачонка. Шлюха на шлюхе же, как показывает статистика: Аборты:Abortions per 1,000 women Данные с сайта ООН	оу да, обожаю, когда диванные аналитики берут какую-то циферку из пабликов с пацанскими цитатками, садятся на диван в курожеч, дрочат и сосут друг другу по кругу, а в перерывах обсуждают, как же деградировало российское общество, а вот в японии еще хуже хлюп-хлюп	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402dd9f83f2e52cc781477	000280e676--654025b049bf6d25f0b6abf3	000280e676--65402dd9f83f2e52cc781477	000280e676--65402dd9f83f2e52cc781475	0613bb7d6a055407b98cdd026dfc73f3	APPROVED	2023-10-30T22:27:37.524	2023-10-30T22:28:15.248	2023-10-30T22:28:15.248	0.0290000000
Там же какой то абрек пиздил и ебал мадонну весь фильм, там трансов не было. Или мадонна-транс?	уже с тех лет мадонна как раз походила на транса	Может быть, ты просто перепутал? Какие-то инсинуации странные	лгбт	1				https://platform.toloka.ai/task/42002038/000280e676--65402dd9f83f2e52cc781477	000280e676--654025af49bf6d25f0b6aaed	000280e676--65402dd9f83f2e52cc781477	000280e676--65402dd9f83f2e52cc781475	0613bb7d6a055407b98cdd026dfc73f3	APPROVED	2023-10-30T22:27:37.524	2023-10-30T22:28:15.248	2023-10-30T22:28:15.248	0.0290000000
Вся суть. Ты - убогий неудачник, проигравший по жизни. У тебя нет ни друзей, ни увлечений, и единственное твоё развлечение - попытаться причинить кому-то боль. Что у тебя кстати плохо получается, и ты часто сам уходишь с разорванной жопой. Мощно тебе бомбит. Но ты тiрпи.	тiрпiть тут будешь только ты, пока в тове очко каждая узбекская чурка палку кинет	НIВIРЮ! Не удивлен что тебя модер потер, такой то ты дегенерат безголовый. Сейчас и тут потрет.	другое	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402dd9f83f2e52cc781477	000280e676--654025a02d0f5e27572ddcb7	000280e676--65402dd9f83f2e52cc781477	000280e676--65402dd9f83f2e52cc781475	0613bb7d6a055407b98cdd026dfc73f3	APPROVED	2023-10-30T22:27:37.524	2023-10-30T22:28:15.248	2023-10-30T22:28:15.248	0.0290000000
В русский, чурка, можешь? Пишу тебе по русски, раб. Ты обсуждаешь хохлов потому что тебе подают только новости про хохлов. Уяснил, или тебе лично приехать и расскать, чтобы ты на коленях это повторял?	на коленях тут стоять только ты будешь, когда я тя в твой пидорский роток ебать буду прям по самые гланды	Ебать у тебя в голове насрано. Уяснил, или тебе лично приехать и расскать, чтобы ты на коленях это повторял? Чмоня, зачем мне куда-то ехать? Это ты мне что-то вроде пытаешься доказать, поэтому это тебе лично придется приехать. Только чуркам визы не дают.	мигранты	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402ddc663d1a14a0343c57	000280e676--654025a02d0f5e27572ddca7	000280e676--65402ddc663d1a14a0343c57	000280e676--65402ddb663d1a14a0343c55	d3a9aaffc63d408553b396dc429b06fc	APPROVED	2023-10-30T22:27:40.051	2023-10-30T22:28:13.814	2023-10-30T22:28:13.814	0.0320000000
Женщина вполне может быть и проституткой, и кодомакакой. Это почти одно и то же.	Обидно, когда программистов кодомакаками называют, мы ж всё-таки каждый день стараемся сделать мир лучше	Ну для мужчины быть кодомакакой гораздо зашкварнее чем проституткой как по мне. Даже чем гей-проституткой.	женщины	2				https://platform.toloka.ai/task/42002038/000280e676--65402ddc663d1a14a0343c57	000280e676--654025b149bf6d25f0b6ac22	000280e676--65402ddc663d1a14a0343c57	000280e676--65402ddb663d1a14a0343c55	d3a9aaffc63d408553b396dc429b06fc	APPROVED	2023-10-30T22:27:40.051	2023-10-30T22:28:13.814	2023-10-30T22:28:13.814	0.0320000000
В Японии школьницы часто занимаются проституцией. Насчет России - ничего, продолжайте либеральный курс, будет и не такое	В Японии школьницы часто занимаются проституцией.В России и прочих Украинах куда чаще. Поэтому, собственно, ты и визжишь как раненая в анус собачонка. Шлюха на шлюхе же, как показывает статистика: Аборты:Abortions per 1,000 women Данные с сайта ООН	оу да, обожаю, когда диванные аналитики берут какую-то циферку из пабликов с пацанскими цитатками, садятся на диван в курожеч, дрочат и сосут друг другу по кругу, а в перерывах обсуждают, как же деградировало российское общество, а вот в японии еще хуже хлюп-хлюп	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402ddc663d1a14a0343c57	000280e676--654025b049bf6d25f0b6abf3	000280e676--65402ddc663d1a14a0343c57	000280e676--65402ddb663d1a14a0343c55	d3a9aaffc63d408553b396dc429b06fc	APPROVED	2023-10-30T22:27:40.051	2023-10-30T22:28:13.814	2023-10-30T22:28:13.814	0.0320000000
В Японии школьницы часто занимаются проституцией. Насчет России - ничего, продолжайте либеральный курс, будет и не такое	В Японии школьницы часто занимаются проституцией.В России и прочих Украинах куда чаще. Поэтому, собственно, ты и визжишь как раненая в анус собачонка. Шлюха на шлюхе же, как показывает статистика: Аборты:Abortions per 1,000 women Данные с сайта ООН	оу да, обожаю, когда диванные аналитики берут какую-то циферку из пабликов с пацанскими цитатками, садятся на диван в курожеч, дрочат и сосут друг другу по кругу, а в перерывах обсуждают, как же деградировало российское общество, а вот в японии еще хуже хлюп-хлюп	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402ddfedd5dc6538eca54c	000280e676--654025b049bf6d25f0b6abf3	000280e676--65402ddfedd5dc6538eca54c	000280e676--65402ddfedd5dc6538eca54a	1d160cd5d8c5230c12be9e4f9b3b8c1a	APPROVED	2023-10-30T22:27:43.740	2023-10-30T22:29:22.649	2023-10-30T22:29:22.649	0.0290000000
Жопошник здесь только ты, мальчонка с надутой грудкой в попытке казаться большим и грозным. Ты двух разных людей отметил вообще. Лично мне абсолютно похуй на то, у кого там какая трансмиссия, пока они не начинают рассказывать, какая петушиная охуенная. Тогда лениво включаюсь в разговор, периодически постукивая ремонтозависимым запчастезаменоголовым крепчайшей головой увитого мощными венами члена по губам. Они обычно благодарят. Иногда смущаются.	Кто о чем, а пидор о хуях.	ты настуолько тупой, что спорить с тобой бесполезно	лгбт	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402ddfedd5dc6538eca54c	000280e676--654025a02d0f5e27572ddca9	000280e676--65402ddfedd5dc6538eca54c	000280e676--65402ddfedd5dc6538eca54a	1d160cd5d8c5230c12be9e4f9b3b8c1a	APPROVED	2023-10-30T22:27:43.740	2023-10-30T22:29:22.649	2023-10-30T22:29:22.649	0.0290000000
По той же причине шо при встрече ты будешь молить отлизать мне, дедуля Я охуенная, такие вот дела Поебись уже с кем-то, ради своего же блага, а то маман не вечная, а потом гг будешь на двощах ркн треды создавать	и че произойдет если поебаться с такой же шалашовкой как ты?) мир перевернется чи шо клоунесса	Да, ты классная. Твои фантазии дали мне пищу для размышлений, о которой я и не смел мечтать.	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402ddfedd5dc6538eca54c	000280e676--654025b049bf6d25f0b6ab7d	000280e676--65402ddfedd5dc6538eca54c	000280e676--65402ddfedd5dc6538eca54a	1d160cd5d8c5230c12be9e4f9b3b8c1a	APPROVED	2023-10-30T22:27:43.740	2023-10-30T22:29:22.649	2023-10-30T22:29:22.649	0.0290000000
Это твоя методичка хуесос. Ты же за обэму? За обэму а обэма квакал что совки только галоши делать и умели и даже едой себя обеспечить не могли. Так чего у тебя в 90е вывезли? Галоши?	мда, диванный курс политологии от тупого говна	Я не за обэму - я против тебя, гнилой хуесос и пидомразь.	лгбт	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402de02d0f5e27572f73fd	000280e676--654025a02d0f5e27572ddcb9	000280e676--65402de02d0f5e27572f73fd	000280e676--65402de02d0f5e27572f73f8	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:44.349	2023-10-30T22:27:59.331	2023-10-30T22:27:59.331	0.0320000000
Там же какой то абрек пиздил и ебал мадонну весь фильм, там трансов не было. Или мадонна-транс?	уже с тех лет мадонна как раз походила на транса	Может быть, ты просто перепутал? Какие-то инсинуации странные	лгбт	1				https://platform.toloka.ai/task/42002038/000280e676--65402de02d0f5e27572f73fd	000280e676--654025af49bf6d25f0b6aaed	000280e676--65402de02d0f5e27572f73fd	000280e676--65402de02d0f5e27572f73f8	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:44.349	2023-10-30T22:27:59.331	2023-10-30T22:27:59.331	0.0320000000
У хрусичей жопа по шву расходится, наташи по-факту всегда правильно поступают, каждое решение наташки это благо для ее детей и будущего нации.	Мразь тупая, ты за собой следи. Последний раз хуже любой наташки себя вёл, чмо недоделаное	У каждого человека своё видение, как поступать. Не суди и не судим будешь. 	национальность	1				https://platform.toloka.ai/task/42002038/000280e676--65402de02d0f5e27572f73fd	000280e676--654025b049bf6d25f0b6ac1e	000280e676--65402de02d0f5e27572f73fd	000280e676--65402de02d0f5e27572f73f8	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:27:44.349	2023-10-30T22:27:59.331	2023-10-30T22:27:59.331	0.0320000000
В Японии школьницы часто занимаются проституцией. Насчет России - ничего, продолжайте либеральный курс, будет и не такое	В Японии школьницы часто занимаются проституцией.В России и прочих Украинах куда чаще. Поэтому, собственно, ты и визжишь как раненая в анус собачонка. Шлюха на шлюхе же, как показывает статистика: Аборты:Abortions per 1,000 women Данные с сайта ООН	оу да, обожаю, когда диванные аналитики берут какую-то циферку из пабликов с пацанскими цитатками, садятся на диван в курожеч, дрочат и сосут друг другу по кругу, а в перерывах обсуждают, как же деградировало российское общество, а вот в японии еще хуже хлюп-хлюп	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402de6f83f2e52cc7815f2	000280e676--654025b049bf6d25f0b6abf3	000280e676--65402de6f83f2e52cc7815f2	000280e676--65402de6f83f2e52cc7815f0	0042161dd2255759513232b194341692	APPROVED	2023-10-30T22:27:50.620	2023-10-30T22:28:16.417	2023-10-30T22:28:16.417	0.0290000000
Там же какой то абрек пиздил и ебал мадонну весь фильм, там трансов не было. Или мадонна-транс?	уже с тех лет мадонна как раз походила на транса	Может быть, ты просто перепутал? Какие-то инсинуации странные	лгбт	1				https://platform.toloka.ai/task/42002038/000280e676--65402de6f83f2e52cc7815f2	000280e676--654025af49bf6d25f0b6aaed	000280e676--65402de6f83f2e52cc7815f2	000280e676--65402de6f83f2e52cc7815f0	0042161dd2255759513232b194341692	APPROVED	2023-10-30T22:27:50.620	2023-10-30T22:28:16.417	2023-10-30T22:28:16.417	0.0290000000
"Ты траллишь ебанат? Довольно жирно. А если не тралишь, то знай:"" Аллах твой черт ебаный который будет выебан ,высушен, обоссан и съеден. И участь его разделит его бесовская орда из жидов, чурок и прочей падали."" И это истина, тварь ебаная, такая же истина как Солнце моё взойдёт утром и рассеет тьму. Грызите свои вены крысы ебаные, вешайтесь и душите своих выблядков сами ибо вы позавидуете мертвым, позавидуете чертям в аду. Умрите сами пока ещё можете."	"Ты траллишь ебанат? Довольно жирно. А если не тралишь, то знай:"" Аллах твой черт ебаный который будет выебан ,высушен, обоссан и съеден. И участь его разделит его бесовская орда из жидов, чурок и прочей падали."" И это истина, тварь ебаная, такая же истина как Солнце моё взойдёт утром и рассеет тьму. Грызите свои вены крысы ебаные, вешайтесь и душите своих выблядков сами ибо вы позавидуете мертвым, позавидуете чертям в аду. Умрите сами пока ещё можете."	твое ебаное мнение никто не спрашивал. Иди своему парню рассказывай про национальный вопрос пока отсасывать будешь, но потом не забудь, как хороший пидор, проглотить, а то в жопу зарядят	национальность	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402de6f83f2e52cc7815f2	000280e676--654025a02d0f5e27572ddca5	000280e676--65402de6f83f2e52cc7815f2	000280e676--65402de6f83f2e52cc7815f0	0042161dd2255759513232b194341692	APPROVED	2023-10-30T22:27:50.620	2023-10-30T22:28:16.417	2023-10-30T22:28:16.417	0.0290000000
Эпоха джентри закончилась, нонче решает кровь и личные заслуги.И слава богу. Аристократии быть не должно. Большевиков не люблю, но искренне их ценю за то, что перебили всех блядей и эксплуататоров простого люда. Место аристократа - на виселице.	"""перебили всех блядей и эксплуататоров простого люда""? Теперь тебя эксплуатируют вчерашние колхозники, у которых нет никакого чувства причастности к стране. А про блядей я вообще молчу. Лучше стало?большевики были топом в свою эпоху меритократии (до концов 60-х примерно), когда всё оценивалось по делам твоим и спрашивалось соответственно"	Да не будет никакой аристократии, откуда ей взяться! А что решает кровь - это как раз к теме аристократии ващет. Так что какие-то двойные стандарты у тебя. Датчики не настроены. Перенастрой аппаратурку-то. А то эксплуататоры из низов за тебя покрепче любых листократов возьмутся да ноги из тебя нахуй повыдергают	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402decedd5dc6538eca67b	000280e676--654025b149bf6d25f0b6ac40	000280e676--65402decedd5dc6538eca67b	000280e676--65402decedd5dc6538eca677	23a278b8abff705b8b102c3fd1d18ae5	APPROVED	2023-10-30T22:27:56.349	2023-10-30T22:28:32.277	2023-10-30T22:28:32.277	0.0290000000
Матери с оружием- смерть нации. Хохлов геноцидят тихо, в расчете на долгосрочную перспективу. Половина матерей Украины проститутки, другая половина убивает. Иудеи прекрасно понимают, что они делают. Хохол мертв, свинья роду славянского давно издохла. Жизненное пространство освобождено для хабад любавич.	жаль, что у тебя забыли спросить аналитику. Не поделишь инсайдами по количеству извилин в твоей черепной коробке	Матери с оружием- смерть нации Хуятери. В снг остались одни проститутки и рсп.	женщины	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402decedd5dc6538eca67b	000280e676--654025a02d0f5e27572ddcc1	000280e676--65402decedd5dc6538eca67b	000280e676--65402decedd5dc6538eca677	23a278b8abff705b8b102c3fd1d18ae5	APPROVED	2023-10-30T22:27:56.349	2023-10-30T22:28:32.277	2023-10-30T22:28:32.277	0.0290000000
Растет и доля расчетов в национальных валютах между РФ и КНР. Правда, в первую очередь за счет юаня. Российский рубль за счет своей слабости токсичен даже для малого бизнеса в КНР, говорят эксперты. Повторяю долбоебине - Китаю нахуй не нужен срубль.	Никому чужая валюта не нужна, ею пользуются если другого экономического выхода нет. Это понятно всем, можно не объяснять. Так что да, на этом поле расчёты будут расти в юанях. А ты в чём хотел? Не в тугриках же.	говорят эксперты Сука, какой же ты долбоеб. Вначале ты верещал, что Китай ничего не продает за рубли, а теперь оказывается продает, но типа рубль ему не нужен. Вот же ты мразота сверхманевренная.	другое	2				https://platform.toloka.ai/task/42002038/000280e676--65402decedd5dc6538eca67b	000280e676--654025b049bf6d25f0b6abdb	000280e676--65402decedd5dc6538eca67b	000280e676--65402decedd5dc6538eca677	23a278b8abff705b8b102c3fd1d18ae5	APPROVED	2023-10-30T22:27:56.349	2023-10-30T22:28:32.277	2023-10-30T22:28:32.277	0.0290000000
Там же какой то абрек пиздил и ебал мадонну весь фильм, там трансов не было. Или мадонна-транс?	уже с тех лет мадонна как раз походила на транса	Может быть, ты просто перепутал? Какие-то инсинуации странные	лгбт	1				https://platform.toloka.ai/task/42002038/000280e676--65402deddc18ba1744e55e0e	000280e676--654025af49bf6d25f0b6aaed	000280e676--65402deddc18ba1744e55e0e	000280e676--65402deddc18ba1744e55e0c	06bca14632ff1ab094dbf45984509bb2	APPROVED	2023-10-30T22:27:57.216	2023-10-30T22:28:38.388	2023-10-30T22:28:38.388	0.0290000000
Но большая часть восточной Украины тоже симпатизирует русскимда отключите вы им телевизор уже, они же русскую пропаганду смотрят. На Донбассе тоже вон насмотрелиь - теперь охуевают с российского мира.	ну ты же у нас не такой, вот ты точно правильные каналы смотришь, где всю правду говорят и никак иначе	Бесполезно. Иначе откуда хохлы лучше всех знают, что сказали Соловьёв и Скабеева?	национальность	2	2			https://platform.toloka.ai/task/42002038/000280e676--65402deddc18ba1744e55e0e	000280e676--654025a02d0f5e27572ddca3	000280e676--65402deddc18ba1744e55e0e	000280e676--65402deddc18ba1744e55e0c	06bca14632ff1ab094dbf45984509bb2	APPROVED	2023-10-30T22:27:57.216	2023-10-30T22:28:38.388	2023-10-30T22:28:38.388	0.0290000000
Актрис там реально из параши достали. сколько актрис выебал за съемочный день? там все страшные, это такая пизда, как так? просто 4/10 все нахуй самбурская тоже? я ее на кинопоиске в списке заметил С каких пор она красивой стала? Бля я даже забыл её загуглил вот: меф ты издеваешься ? Или как? Пиздец 5/10	Сука прям на ебале написано: заберите меня в село обратно. нашли блять кумира. Смех мерзкий. Никакой элегантности и шарма. Тупо хабалка без пузана	да ты охуел, норм актрисы. я конечно понимаю, что на вкус и цвет, но они реально хорошо выглядят. 	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402deddc18ba1744e55e0e	000280e676--654025af49bf6d25f0b6ab3f	000280e676--65402deddc18ba1744e55e0e	000280e676--65402deddc18ba1744e55e0c	06bca14632ff1ab094dbf45984509bb2	APPROVED	2023-10-30T22:27:57.216	2023-10-30T22:28:38.388	2023-10-30T22:28:38.388	0.0290000000
так пизди стратегию ты же как раз по малолеткам глядишь еще какая лоля 14 лет трусы снимет в телеге	Это ваще ебнуться, если подумать, тут же у половины топана интересов нет никаких кроме трэпчика и дока2 Обычно эти же люди называют окружающим дегенератами кстати рофланхмм подожди-подожди сынище шлюхи какое у тебя право есть квотить меня	КАКОГО ХРЕНА ТЫ ГОНИШЬ НА СТРАТЕГИЮ?! Я ЭТОЙ СТРАТЕГИИ ЧЕТЫРЕ КУРСА В СПЕЦВУЗЕ УЧИЛСЯ, У НАС ПОЛКОВНИК ПРЕПОДАВАЛ ЗВЕРЬ, СО ВСЕХ ШКУРЫ БЕЗ ПОВОДА СДИРАЛ. Я ХОТЯ БЫ МОГУ КАМПАНИЮ СПЛАНИРОВАТЬ КАК НАДО!	женщины	1				https://platform.toloka.ai/task/42002038/000280e676--65402df02d0f5e27572f7684	000280e676--654025af49bf6d25f0b6aab3	000280e676--65402df02d0f5e27572f7684	000280e676--65402df02d0f5e27572f7682	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:28:00.665	2023-10-30T22:28:33.268	2023-10-30T22:28:33.268	0.0320000000
с твоим то вкусом на инфоцыганскую парашуу меня вообще вкуса нет, поэтому и спрашиваю знающих людей. а твой тейк про генетическое уродство это просто замечательно. манера речи это привычка. если бы я рос в среде интеллектуалов, то я бы общался как интеллектуал в независимости от своего интеллекта, так что твоя фашистская хуета тут вообще не к месту	Вкуса у тебя так же нет потому что ты дегенерат биологический.А хочешь мнения знающих людей - потому что низкопримативный, потому что уродцы в дикой природе всегда низкопримативны в стаях. Отсюда кстати тоже твоя неуверенность. И да это не лечится. Ты рожден страдать, как Франкештейн.	да уж сразу видно, что рос ты не в среде интеллектуалов, а в среде политических шлюх, которые переобучаются чаще, чем на хую бывают	мужчины	1	1			https://platform.toloka.ai/task/42002038/000280e676--65402df02d0f5e27572f7684	000280e676--654025a02d0f5e27572ddcc5	000280e676--65402df02d0f5e27572f7684	000280e676--65402df02d0f5e27572f7682	fee78adce8fb7d418a84d6b9ac75b953	APPROVED	2023-10-30T22:28:00.665	2023-10-30T22:28:33.268	2023-10-30T22:28:33.268	0.0320000000
